name,address,coordinates
McDonald's ,Bugis Junction Victoria Street #1-K5 Singapore 188021,"1.29911316126836,103.855411151136"
McDonald's ,Bugis Village Rochor Road #1-42 Singapore 188426,"1.30089884539002,103.855242173644"
McDonald's , Bukit Batok Central #1-10 Singapore 650632,"1.34941218045919,103.750538659689"
McDonald's , Bukit Batok Street 11 #1-451 Singapore 650152,"1.34830189004312,103.744257269677"
McDonald's , Bukit Batok Street 31 #1-27 Singapore 650374,"1.35809927236864,103.750719677477"
McDonald's ,Bukit Panjang Plaza Jelebu Road #2-24 Singapore 677743,"1.38051732815913,103.763961852618"
McDonald's ,Causeway Point Woodlands Square #1-9 Singapore 738099,"1.43600784517148,103.785688739235"
McDonald's ,"Changi Airport Terminal 2 Airport Boulevard, Changi Airport Terminal 2Â  Mezzanine Level Arrival Meeting #M016-41 Singapore 819643","1.35519094047222,103.98875098125"
McDonald's ,"Changi Airport Terminal 2 Airport Boulevard, Changi Airport Terminal 2Â  Departure, Transit Lounge Central #36-151 Singapore 819643","1.35519094047222,103.98875098125"
McDonald's ,"Changi Airport Terminal 3 Airport Boulevard, Changi Airport Terminal 3Â Arrival Meeting Hall South #1-9 Singapore 819663","1.35437073617361,103.985169653268"
McDonald's ,"Changi Airport Terminal 4 Airport Boulevard, Changi Airport Terminal 4Â Mezzanie Departure , Check-in Hall #2-19 Singapore 819665","1.33800813358939,103.983482808095"
McDonald's ,Changi City Point Changi Business Park Central 1 #1-2 Singapore 486038,"1.33432515600982,103.962389303195"
McDonald's ,Chinatown Point New Bridge Road #1-83 Singapore 59413,"1.28499882771297,103.844697085395"
McDonald's ,Lot One Choa Chu Kang Avenue 4 #1- Singapore 689812,"1.38506835667563,103.744950384161"
McDonald's , Choa Chu Kang Street 62 #2-39 Singapore 680624,"1.39778139107438,103.746974057323"
McDonald's , Choa Chu Kang Street 62 #1-2 Singapore 680623,"1.39832133844495,103.747344864514"
McDonald's ,Choa Chu Kang MRT Station Choa Chu Kang Avenue 4 #1- Singapore 689810,"1.38567271102513,103.744139121773"
McDonald's ,Limbang Shopping Centre Choa Chu Kang Street 51 #1- Singapore 680533,"1.39207388486115,103.743099575245"
McDonald's ,Chong Pang Community Centre Yishun Ring Road #1-2 Singapore 768677,"1.43083237048448,103.829234874916"
McDonald's ,Choa Chu Kang Community Centre Teck Whye Avenue #1-95 Singapore 688892,"1.38115529003063,103.751903886481"
McDonald's ,City Square Mall Kitchener Road #B1-125 Singapore 208539,"1.31130516479713,103.856421771906"
McDonald's , Clementi Avenue 3 #1-19 Singapore 120451,"1.31248297973128,103.765476761292"
McDonald's ,Clementi Mall Commonwealth Avenue West #1-K2 Singapore 129588,"1.31485321802259,103.764248205662"
McDonald's ,Parkway Parade Marine Parade Central Parkway Centre #1-1 Singapore 449408,"1.30188733400279,103.9059960379"
McDonald's ,White Sands Shopping Centre Pasir Ris Central Street 3 #1-29 Singapore 518457,"1.3724498161424,103.949715702336"
McDonald's ,Pasir Ris Sports & Recreation Centre Pasir Ris Central #1-12 Singapore 519640,"1.37444845586214,103.95182250671"
McDonald's ,Paya Lebar Square Paya Lebar Road #1-68 Singapore 409051,"1.3186757503745,103.892550607124"
McDonald's ,People's Park Complex Park Road #1-69 Singapore 59108,"1.28413390917012,103.842519572814"
McDonald's ,Pioneer Mall Jurong West Street 61 #1-1 Singapore 640638,"1.34159107979645,103.69702008582"
McDonald's ,Plaza Singapura Orchard Road #B1-23 Singapore 238839,"1.3007475429726,103.845047622213"
McDonald's , Potong Pasir Avenue 1 #1-43 Singapore 350148,"1.33235435193401,103.867774260572"
McDonald's ,PSA Building (Alexandra Retail Centre) Alexandra Road #1-25 Singapore 119963,"1.27367657754602,103.801126950046"
McDonald's ,Punggol 21 Community Centre Punggol Field #1-2 Singapore 828815,"1.39360624159957,103.913464113125"
McDonald's ,Punggol Safra Sentul Crescent #3-5 Singapore 828654,"1.41011328238339,103.906031928713"
McDonald's ,Ridout Tea Garden Queensway #1-1 Singapore 149066,"1.30406164088781,103.802110379512"
McDonald's ,Queensway Shopping Centre Queensway #2-46 Singapore 149053,"1.28761791591215,103.80339114218"
McDonald's ,Raffles City Shopping Centre North Bridge Road #1-49 Singapore 179103,"1.29376027875417,103.852768332387"
Mcdonald's ,REGAL Jalan Bukit Merah #1-1 Singapore 159460,"1.28343107175163,103.818222637628"
McDonald's ,Resorts World Sentosa Sentosa Gateway #B1-211 Singapore 98138,"1.25657348610591,103.819458960478"
McDonald's ,Rivervale Mall Rivervale Crescent #1-27 Singapore 545082,"1.39219777633908,103.904471602179"
McDonald's ,Toa Payoh Safra Club House Toa Payoh Lorong 6 #1-2 Singapore 319387,"1.32988651246208,103.854213741098"
Kopitiam ,Bukit Panjang Plaza Jelebu Road #3-9 Singapore 677743,"1.38051732815913,103.763961852618"
Kopitiam ,Changi General Hospital Simei Street 3 #-89E Singapore 529889,"1.34068473973666,103.949294393687"
Kopitiam ,IB@Changi General Hospital Simei Street 3 #-8 Singapore 529905,"1.34131852591503,103.948193387126"
Kopitiam ,Hougang 1 Shopping Mall Hougang Street 91 #1-K7 Singapore 538692,"1.37566727990659,103.879450257387"
Kopitiam ,IMM Jurong East Street 21 #3-24 Singapore 609601,"1.33489843717477,103.7467344968"
Kopitiam ,Harbourfront Centre 1 Maritime Square #1-30 Singapore 99253,"1.26206336360052,103.818625592652"
Kopitiam ,Hillion Mall 17 Petir Road #2-8 Singapore 678278,"1.37834971260865,103.76274117629"
Kopitiam ,Singapore Post Centre 10 Eunos Road 8 #3-69 Singapore 408600,"1.31885610260134,103.894067163693"
Kopitiam ,Changi City Point 5 Changi Business Park Central 1 #2-48 Singapore 486038,"1.33432515600982,103.962389303195"
Kopitiam ,Jurong East MRT Jurong East Street 12 #1-6 Singapore 609690,"1.33329506213869,103.742153887676"
Kopitiam ,Wisteria Mall Yishun Ring Road #B1-233 Singapore 768698,"1.41799925556566,103.841236459776"
Kopitiam , Sumang lane #-109 Singapore 822231,"1.4021284201097,103.891466929973"
BAGUS @ Causeway Point,Causeway Point Woodlands Square #7-K8 Singapore 738099,"1.43600784517148,103.785688739235"
Koufu ,100AM Shopping Mall Tras Street #4-14 Singapore 79027,"1.27458820975744,103.843470739068"
Koufu ,ITE College Central Ang Mo Kio Drive #1-K13 Singapore 567720,"1.37789203173292,103.856411986641"
Koufu ,Anchorpoint Alexandra Road #B1-287 Singapore 159953,"1.28861468740198,103.805009965174"
Koufu ,Cathay Cineleisure Grange Road #B1-22 Singapore 239693,"1.30140331482717,103.837328125596"
Koufu ,Gek Poh Shopping Mall Jurong West Street 75 #1-7 Singapore 640760,"1.34942545429356,103.699782251278"
Koufu ,JEM Shopping Mall Jurong Gateway Road #5-2 Singapore 608549,"1.33320021038331,103.743170436293"
KouFu , 535 Clementi Road #2-825 Singapore 599489,"1.3327625965271,103.771562462036"
Koufu ,South Spine Food Court Nanyang Avenue #-21 Singapore 639798,"1.34676465089635,103.678818138199"
Koufu ,University Town Create Way #1-12 Singapore 138602,"1.30399550833056,103.773492158612"
Koufu ,South Food Court Woodlands Avenue 9 #1-3 Singapore 738964,"1.44623773350471,103.782971177683"
Koufu ,Rivervale Plaza Rivervale Drive #2-61 Singapore 540118,"1.38493202032928,103.901558027564"
Koufu ,Sembawang Mart Canberra Road #1-1 Singapore 750511,"1.45384518348657,103.819543348907"
Koufu ,The Star Vista Vista Exchange Green #2-1 Singapore 138617,"1.3068488176344,103.788214531337"
Koufu ,Thomson Plaza Upper Thomson Road #1- Singapore 574408,"1.35466901882051,103.83091978573"
Koufu , Toa Payoh Lorong 6 #2-59 Singapore 310500,"1.33296549107728,103.847050355594"
Koufu ,Woodlands Mart Woodlands Avenue 6 #1-22 Singapore 730768,"1.44562289934866,103.798140996577"
Koufu ,Woodlands Mart Woodlands Avenue 6 #1-K2 Singapore 730768,"1.44562289934866,103.798140996577"
Koufu ,Yew Tee Point Choa Chu Kang North #B1-24 Singapore 689578,"1.39730190406932,103.746558072887"
Koufu ,Square 2 10 Sinaran Drive #4-27 Singapore 307506,"1.32042966145248,103.843892131406"
LeNu ,Bugis Juction Victoria Street #B1- Singapore 188021,"1.29911316126836,103.855411151136"
